"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016358","GO:0016358","dendrite development","101/2353","327/28891",4.58889240936771e-33,2.78132768931777e-29,1.75005865254097e-29,"Tpbg/Ptn/Rhoa/Hdac2/Cdc42/Nsmf/Klhl1/Rac1/Eif4g2/Crk/Actr3/Dtnbp1/Bmp7/Ephb1/Pak1/Camk1/Lpar1/Reln/Tbc1d24/Cdkl5/Tnik/D130043K22Rik/Mtor/Kif1a/Strn/Map1b/Matn2/Dscam/Grin1/Cntnap2/Epha4/Celsr2/Kalrn/Ptprd/Cit/Map6/Abi3bp/Ppp1r9a/Gsk3b/Crebbp/Tanc2/Rapgef2/Syngap1/Robo1/Opa1/Map1a/Tiam1/Dnm3/Cpeb3/Epha5/Dcx/Nlgn3/Kndc1/Farp1/Mfn2/Dgkg/Eef2k/Grip1/Nedd4/Tet1/Trpc5/Klf7/Mecp2/Fat3/Shank1/Lzts1/Clip1/Iqgap1/Itsn1/Csmd3/Ube3a/Pten/Nrp1/Hecw1/Hdac6/Hecw2/Cyfip1/Mef2c/Ptprz1/Abl2/Cux2/Slc12a5/Grin3a/Nlgn1/Kidins220/Tsc2/Camsap2/Lzts3/Ptprs/Sarm1/Camk2a/Ptprf/Sez6/Nedd4l/Alk/Iqsec1/Arid1b/Cul7/Dnm1l/Chrna7/Sdk1",101
"GO:0050890","GO:0050890","cognition","105/2353","371/28891",1.05150723242734e-30,3.18659266787105e-27,2.00505826478118e-27,"Ndufs4/Tpbg/Ift20/Ptn/Igf2/S100b/Ap1s2/Tac1/Arl6ip5/Grcc10/Mettl23/Atad1/Itga5/Vip/Ntan1/B2m/Vdac3/Camk2n1/Syt4/Pak1/Gmfb/Reln/Cacna1e/Mtor/Zzef1/Csmd1/Tnr/Htt/Grin2a/Chl1/Slc24a2/Dgki/Grin1/Cntnap2/Synj1/Kit/Cacna1c/Slc8a2/Kalrn/Syt11/Grm5/Adcy1/Nrxn3/Nrxn1/Atp8a1/Gria1/Shisa7/Tmod2/Crebbp/Ep300/Aff2/Clstn2/Nrg1/Syngap1/Grin2b/Ncstn/Nipbl/Gpr158/Fgf13/Map1a/Cpeb3/Nlgn3/Sobp/Plcb1/Setd5/Mecp2/Grm7/Shank1/Itga3/Slc6a1/Ddhd2/Nf1/Ncam1/Ube3a/Abcc8/Clstn3/Pten/Tbr1/Chrm1/Psen2/Kcnq2/B3gat1/Cyfip1/Mef2c/Ptprz1/Abl2/Kmt2a/Cux2/Slc12a5/Trpm7/Pde4d/Egfr/Atp1a3/Neto1/Aaas/Gabrb3/Peg13/Ntsr1/Adcy8/Neurod2/Tsc1/Ckap5/Htr2a/Braf/Chrna7",105
"GO:0031346","GO:0031346","positive regulation of cell projection organization","119/2353","463/28891",2.37401717525681e-30,4.79630603307717e-27,3.01791727226506e-27,"Nme1/Ift20/Pcp4/Akirin1/Ptn/Cd24a/Rap1a/Rgs2/Cdc42/Rpl4/Sphk1/Rnd2/Ube2v2/Brk1/Eif2b2/Kctd17/Rac1/Snx3/Stk25/Ranbp1/Fez1/Eif4g2/Actr3/Bmp7/Plk5/Pak1/Cdc42ep4/Camk1/Serpine2/Tnfrsf12a/Reln/Tbc1d24/Arhgap32/Cdkl5/Atp8a2/Tnik/Tenm3/Mtor/Tenm1/Htt/Macf1/Map1b/Lrrc7/Cpeb1/Dscam/Plxna2/Grin1/Epha4/Kit/Dcc/Slitrk1/Snap91/Apc/Lrp1/Kalrn/Itpr1/Ptprd/Nrxn1/Golga4/Kif3c/Map6/Robo2/Setx/Ppp1r9a/Gsk3b/Ep300/Sema5a/Rapgef2/Cntn1/Nrg1/Robo1/Opa1/Ttbk2/Pik3r1/Tiam1/Dnm3/Dcx/L1cam/Mfn2/Eef2k/Grip1/Scarb2/Trpc5/Plxnd1/Arsb/Zfp804a/Clip1/Iqgap1/Itga3/Plxna4/Nf1/Dnm2/Dvl3/Igf1r/Magi2/Zfyve27/Nrp1/Tox/Cyfip1/Plxna1/Ptprz1/Abl2/Cux2/Nlgn1/Dpysl3/Megf8/Rreb1/Kidins220/Tsc2/Creb3l2/Ptprf/Agrn/Ap2a1/Alk/Cul7/Dzip1/Dnm1l/Braf/Mark4",119
"GO:0099003","GO:0099003","vesicle-mediated transport in synapse","87/2353","270/28891",3.71755096665474e-30,5.6330191022236e-27,3.54439135583951e-27,"Cplx3/Mff/Snap47/Atp6v1d/Cd24a/Rap1a/Atp6v1e1/Pfn2/Ap1s2/Atad1/Atp6v1f/Sh3gl3/Snca/Stx4a/Sacm1l/Atp6v1g1/Ap3s1/Dtnbp1/Sh3glb2/Rap1b/Tor1a/Syt4/Bin1/Lpar1/Tbc1d24/Cacna1e/Prepl/Pclo/Cdh2/Cacna1b/Syt1/Stx1b/Synj1/Sh3gl2/Snap91/Sv2b/Sv2a/Syt11/Bsn/Nrxn1/Cadps/Dnajc5/Nrg1/Sv2c/Rimbp2/Slc4a8/Dnm3/Nlgn3/Otof/Aak1/Grip1/Nedd4/Dgkq/Dnajc6/Stxbp5/Cplx2/Ap2b1/Itsn1/Stxbp1/Ap3b2/Itsn2/Stxbp5l/Dennd1a/Syt7/Dnm2/Hip1/Magi2/Pten/Pcdh17/Cyfip1/Syt10/Scrn1/Dnm1/Cltc/Erc1/Nlgn1/Prrt2/Camk2a/Ap2a2/Syn3/Clstn1/Atp2a2/Ap2a1/Iqsec1/Vps18/Dnm1l/Braf",87
"GO:0099173","GO:0099173","postsynapse organization","82/2353","252/28891",7.87491831926819e-29,9.54597598661691e-26,6.00649033067551e-26,"Rheb/Cript/Ptn/Cdc42/Psd/Rac1/Crk/Actr3/Dtnbp1/Ephb1/Srgn/Reln/Cdkl5/Adgrl3/Kif1a/Cnksr2/Nrcam/Cdh2/Grin2a/Frmpd4/Myh10/Frrs1l/Grin1/Cntnap2/Dock7/Epha4/Sh3gl2/Kalrn/Ptprd/Nrxn3/Nrxn1/Abi3bp/Ppp1r9a/Shisa7/Tanc2/Syngap1/Grin2b/Nptx1/Opa1/Cntnap1/Tiam1/Dnm3/Htr1a/Epha5/Nlgn3/Farp1/Mfn2/Epha7/Eef2k/Shank1/Lzts1/Zfp804a/Itga3/Itsn1/Nf1/Ube3a/Grid1/Igf1r/Magi2/Pten/Nrp1/Psen2/Nos1ap/Slitrk3/Hdac6/Insr/Abl2/Sorbs2/Cux2/Nlgn1/Lhfpl4/Lrrtm1/Tsc2/Lzts3/Ptprs/Ptprf/Arhgef9/Agrn/Dnm1l/Grid2/Ckap5/Chrna7",82
"GO:0007611","GO:0007611","learning or memory","95/2353","331/28891",2.07890720018563e-28,2.10004275672085e-25,1.3213825940829e-25,"Tpbg/Ift20/Ptn/Igf2/S100b/Ap1s2/Tac1/Arl6ip5/Atad1/Itga5/Vip/Ntan1/B2m/Vdac3/Camk2n1/Syt4/Pak1/Gmfb/Reln/Cacna1e/Mtor/Zzef1/Csmd1/Tnr/Htt/Grin2a/Slc24a2/Dgki/Grin1/Cntnap2/Synj1/Kit/Cacna1c/Slc8a2/Kalrn/Syt11/Grm5/Adcy1/Nrxn3/Nrxn1/Atp8a1/Gria1/Shisa7/Tmod2/Crebbp/Ep300/Aff2/Clstn2/Nrg1/Syngap1/Grin2b/Ncstn/Fgf13/Map1a/Cpeb3/Nlgn3/Plcb1/Mecp2/Grm7/Shank1/Itga3/Slc6a1/Ddhd2/Nf1/Ncam1/Ube3a/Abcc8/Clstn3/Pten/Tbr1/Psen2/Kcnq2/B3gat1/Mef2c/Ptprz1/Abl2/Kmt2a/Cux2/Slc12a5/Trpm7/Pde4d/Egfr/Atp1a3/Neto1/Aaas/Gabrb3/Peg13/Ntsr1/Adcy8/Neurod2/Tsc1/Ckap5/Htr2a/Braf/Chrna7",95
"GO:0050807","GO:0050807","regulation of synapse organization","91/2353","309/28891",3.50991078368894e-28,3.03908132284838e-25,1.91224161944437e-25,"Tpbg/Rheb/Cript/Ptn/Rhoa/Cdc42/Cbln2/Psd/Sparc/Ube2v2/Snca/Actr3/Dtnbp1/Ephb1/Camk1/Srgn/Reln/Cdkl5/Adgrl3/Mycbp2/Kif1a/Nrcam/Cdh2/Frmpd4/Myh10/Grin1/Epha4/Slitrk1/Snap91/Kalrn/Slit2/Ptprd/Slitrk4/Nrxn1/Lingo2/Abi3bp/Ppp1r9a/Cdh8/Gsk3b/Tanc2/Clstn2/Nrg1/Robo1/Grin2b/Opa1/Gpr158/Cntnap1/Pik3r1/Ptprt/Tiam1/Dnm3/Nlgn3/Farp1/Mfn2/Epha7/Eef2k/Eif4g1/Nedd4/Setd5/Mecp2/Cntnap4/Lzts1/Zfp804a/Itsn1/Nf1/Mdga2/Ube3a/Grid1/Clstn3/Magi2/Pten/Lrtm2/Psen2/Slitrk3/Cyfip1/Pcdh8/Mef2c/Cux2/Nlgn1/Lhfpl4/Lrrtm1/Tsc2/Lzts3/Ptprs/Ptprf/Clstn1/Agrn/Neurod2/Dnm1l/Grid2/Chrna7",91
"GO:0050803","GO:0050803","regulation of synapse structure or activity","92/2353","317/28891",5.98554917205176e-28,4.53480169147571e-25,2.85337429609783e-25,"Tpbg/Rheb/Cript/Ptn/Rhoa/Cdc42/Cbln2/Psd/Sparc/Ube2v2/Snca/Actr3/Dtnbp1/Ephb1/Camk1/Srgn/Reln/Cdkl5/Adgrl3/Mycbp2/Kif1a/Nrcam/Cdh2/Frmpd4/Myh10/Grin1/Epha4/Slitrk1/Snap91/Kalrn/Slit2/Ptprd/Slitrk4/Nrxn1/Lingo2/Abi3bp/Ppp1r9a/Cdh8/Gsk3b/Tanc2/Clstn2/Nrg1/Syngap1/Robo1/Grin2b/Opa1/Gpr158/Cntnap1/Pik3r1/Ptprt/Tiam1/Dnm3/Nlgn3/Farp1/Mfn2/Epha7/Eef2k/Eif4g1/Nedd4/Setd5/Mecp2/Cntnap4/Lzts1/Zfp804a/Itsn1/Nf1/Mdga2/Ube3a/Grid1/Clstn3/Magi2/Pten/Lrtm2/Psen2/Slitrk3/Cyfip1/Pcdh8/Mef2c/Cux2/Nlgn1/Lhfpl4/Lrrtm1/Tsc2/Lzts3/Ptprs/Ptprf/Clstn1/Agrn/Neurod2/Dnm1l/Grid2/Chrna7",92
"GO:0007416","GO:0007416","synapse assembly","75/2353","222/28891",1.15743132368838e-27,7.79465694763922e-25,4.90453062657663e-25,"Tpbg/Sdcbp/Cript/Cbln4/Rhoa/Cbln2/Psd/Ube2v2/Snca/Crk/Actr3/Ephb1/Cdh1/Reln/Erbb4/Adgrl3/Mycbp2/Pclo/Cdh2/Grin1/Cntnap2/Sdk2/Dock7/Slitrk1/Slit2/Ptprd/Bsn/Nrg3/Slitrk4/Nrxn3/Nrxn1/Lingo2/Gria1/Abi3bp/Ppp1r9a/Gsk3b/Clstn2/Nrg1/Robo1/Nptx1/Gabrb2/Fgf13/Pik3r1/Dnm3/Nlgn3/Farp1/Epha7/Eef2k/Eif4g1/Setd5/Plxnd1/Mecp2/Lzts1/Mdga2/Clstn3/Magi2/Pten/Lrtm2/Gabra2/Pcdh17/Slitrk3/Mef2c/Cux2/Nlgn1/Lhfpl4/Lrrtm1/Lzts3/Ptprs/Arhgef9/Add2/Gabrb3/Clstn1/Agrn/Lgi2/Grid2",75
"GO:0042391","GO:0042391","regulation of membrane potential","117/2353","491/28891",1.05071375944448e-26,6.368376095993e-24,4.00709047417616e-24,"Sumo1/Ndufs4/Ndufc2/Prdx3/Ptn/Atp1b3/Kcnip2/Mtch2/Slc25a33/Ppp2r3c/Cacnb3/Tac1/Arl6ip5/Bnip3l/Tusc2/Tmem161b/Dld/B2m/Snca/Kcnj10/Glrx/Gja1/Pank2/Prelid1/Bin1/Bok/Kcnk1/Cacna2d1/Reln/Ryr2/Tbc1d24/Kcnq3/Kcnk9/Mtor/Pclo/Kcnh7/Nrcam/Akap9/Kcnma1/Grin2a/Nalcn/Kcnh5/Dgki/Akap6/Gabrb1/Grin1/Cntnap2/Igsf9b/Adra1a/Stx1b/Cacna1c/Slc8a2/Scn8a/Slc8a1/Nrxn1/Kcnj6/Cacnb2/Kcna2/Gria1/Ppp1r9a/Gsk3b/Dpp6/Grin2b/Rimbp2/Slc4a8/Cacna1d/Ank3/Slc24a4/Gabrb2/Cntnap1/Fgf13/Nlgn3/Mfn2/Nedd4/Trpc5/Pex5l/Mecp2/Scn3a/Shank1/Kcnd2/Kcnn2/Ank2/Kcnc2/Pten/Rgs7bp/Scn7a/Chrm1/Slc4a3/Gabra2/Nos1ap/Gclc/Kcnq2/Nos1/Mef2c/Slc9a1/Cux2/Grik1/Grin3a/Nlgn1/Gnaq/Gabrg3/Grin2d/Nr3c2/Atp1a3/Abcc9/Neto1/Oprd1/Sez6/Nedd4l/Gabrb3/Atp2a2/Prkce/Agrn/Ntsr1/Grid2/Ckap5/Chrna7",117
