"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003735","GO:0003735","structural constituent of ribosome","62/2311","178/28407",6.04570686362901e-24,6.95256289317336e-21,4.28926992219574e-21,"Rpl7/Rpl18a/Rpsa/Rpl6/Rpl12/Rpl15/Rps4x/Rpl36al/Rpl5/Rps24/Mrpl30/Rpl19/Rps7/Mrpl12/Rpl31/Rpl4/Rps15a/Rpl21/Rpl10/Rpl11/Ndufa7/Rps3/Rps27a/Mrpl18/Rpl18/Rpl32/Mrps11/Rpl23a/Rpl7l1/Rps25/Rpl27/Rpl22/Mrpl20/Rpl7a/Dap3/Rpl13a/Mrps14/Rps14/Rpl27a/Rps18/Mrpl15/Mrpl46/Mrpl32/Mrpl47/Rpl17/Mrps24/Rpl35/Mrpl28/Rpl10a/Mrps17/Mrpl39/Imp3/Rpl24/Mrps6/Mrpl23/Mrps21/Rpl9/Mrpl24/Rpl23/Uba52/Rps12/Mrpl35",62
"GO:0015631","GO:0015631","tubulin binding","90/2311","387/28407",4.12929774853889e-20,2.37434620540986e-17,1.46481404342906e-17,"Cacybp/Nme1/Cript/Polb/Stmn3/Pdcd5/Cct5/Ssna1/Fnta/Rgs2/Vapa/Rps3/Rita1/Bccip/Vbp1/Snca/Fez1/Gja1/Spef1/Pak1/Hsph1/Cetn3/Gabarap/Bloc1s2/Kif1a/Kif1b/Htt/Macf1/Dst/Clasp1/Map1b/Bcas3/Cep350/Apc/Syt11/Appbp2/Kif3c/Map6/Tpr/Ttll4/Dip2b/Nav3/Eml6/Opa1/Clasp2/Fgf13/Map1a/Tiam1/Dnm3/Jakmip3/Ccdc88c/Dcx/Ncald/Nisch/Sgip1/Apc2/Setd2/Clip1/Lrpprc/Jmy/Nf1/Agtpbp1/Hook3/Dclk2/Dnm2/Pde4b/Tubgcp6/Hook1/Hdac6/Taok1/Akap1/Fmn1/Dnm1/Kif21a/Kif26b/Ccser2/Cep295/Camsap2/Fmn2/Alms1/Ranbp10/Dync1i1/Tbcd/Numa1/Camsap1/Dnm1l/Ckap5/Tubgcp3/Lrrc61/Mark4",90
"GO:0030695","GO:0030695","GTPase regulator activity","94/2311","429/28407",4.53533363516635e-19,1.30390842011033e-16,8.04424965816348e-17,"Gnb5/Rap1a/Rgs2/Lamtor5/Psd/Arhgap15/Fbxo8/Eif2b2/Ranbp1/Eif2b5/Rinl/Rgs20/Arfgap2/Bcar3/Arfgef3/Tbc1d24/Arhgap32/Dock4/Mycbp2/Ralgps1/Arhgap21/Dennd4a/Dgki/Tbc1d5/Ralgapb/Dock7/Rabgap1l/Ralgapa1/Acap2/Dock3/Kalrn/Als2/Slit2/Dock9/Rasgrf1/Gapvd1/Rapgef5/Ric1/Rapgef2/Syngap1/Rapgef6/Psd3/Trio/Arfgef2/Arhgap26/Srgap3/Tiam1/Tbc1d30/Ccdc88c/Iqsec2/Rapgefl1/Kndc1/Farp1/Plcb1/Stxbp5/Rasgrf2/Dennd4b/Iqgap1/Itsn1/Rgs8/Tbck/Itsn2/Stxbp5l/Dennd1a/Nf1/Arhgap1/Arhgef11/Rap1gap2/Nrp1/Tbc1d1/Rasal1/Sbf2/Elmo1/Ralgapa2/Dennd5b/Arhgef12/Gnaq/Rasgrp1/Arrb1/Dis3/Tsc2/Arfgef1/Dock2/Arhgap20/Dennd6b/Ranbp10/Evi5l/Arhgef9/Madd/Arap2/Iqsec1/Tbcd/Sh2d3c/Rgp1",94
"GO:0060589","GO:0060589","nucleoside-triphosphatase regulator activity","94/2311","429/28407",4.53533363516635e-19,1.30390842011033e-16,8.04424965816348e-17,"Gnb5/Rap1a/Rgs2/Lamtor5/Psd/Arhgap15/Fbxo8/Eif2b2/Ranbp1/Eif2b5/Rinl/Rgs20/Arfgap2/Bcar3/Arfgef3/Tbc1d24/Arhgap32/Dock4/Mycbp2/Ralgps1/Arhgap21/Dennd4a/Dgki/Tbc1d5/Ralgapb/Dock7/Rabgap1l/Ralgapa1/Acap2/Dock3/Kalrn/Als2/Slit2/Dock9/Rasgrf1/Gapvd1/Rapgef5/Ric1/Rapgef2/Syngap1/Rapgef6/Psd3/Trio/Arfgef2/Arhgap26/Srgap3/Tiam1/Tbc1d30/Ccdc88c/Iqsec2/Rapgefl1/Kndc1/Farp1/Plcb1/Stxbp5/Rasgrf2/Dennd4b/Iqgap1/Itsn1/Rgs8/Tbck/Itsn2/Stxbp5l/Dennd1a/Nf1/Arhgap1/Arhgef11/Rap1gap2/Nrp1/Tbc1d1/Rasal1/Sbf2/Elmo1/Ralgapa2/Dennd5b/Arhgef12/Gnaq/Rasgrp1/Arrb1/Dis3/Tsc2/Arfgef1/Dock2/Arhgap20/Dennd6b/Ranbp10/Evi5l/Arhgef9/Madd/Arap2/Iqsec1/Tbcd/Sh2d3c/Rgp1",94
"GO:0005516","GO:0005516","calmodulin binding","58/2311","195/28407",1.0322876880769e-18,2.37426168257688e-16,1.46476189845017e-16,"Aebp1/Pcp4/Ndufaf4/Sphk1/Cnn2/Dapk2/Camk1/Fkbp8/Phkg2/Atp2b4/Ryr2/Kcnq3/Strn/Kcnh5/Sptan1/Myh10/Pde1a/Syt1/Grin1/Myo5a/Cacna1c/Slc8a2/Adcy1/Slc8a1/Ubr4/Map6/Sptbn1/Wfs1/Ryr3/Ryr1/Slc24a4/Pik3r1/Atp2b1/Eef2k/Plcb1/Scn3a/Ddx5/Grm7/Rasgrf2/Iqgap1/Syt7/Kcnn2/Phka2/Kcnq2/Nos1/Ewsr1/Sntb1/Slc9a1/Sntb2/Tjp1/Akap12/Invs/Egfr/Camsap2/Camk2a/Add2/Camsap1/Adcy8",58
"GO:0051020","GO:0051020","GTPase binding","79/2311","337/28407",4.93082453004421e-18,9.45074701591807e-16,5.83048374254351e-16,"Mff/Ift20/Stoml2/Rap1a/Anxa2/Npc1l1/Rabggtb/Brk1/Rac1/Ybx1/Stx4a/Rabac1/Rinl/Gnb2/Pak1/Cdc42ep4/Bin1/Xpo1/Cdkl5/Dock4/Mycbp2/Dmxl2/Nsf/Dgki/Myo5a/Dock7/Rabgap1l/Rab11fip4/Acap2/Dock3/Als2/Rab11fip2/Golga4/Xpo4/Tnpo1/Gria1/Ppp1r9a/Dock9/Sorl1/Sptbn1/Rasgrf1/Tnpo2/Ccdc186/Gapvd1/Ric1/Cyfip2/Xpo5/Rapgef6/Tbc1d30/Xpot/Farp1/Mfn2/Grip1/Pex5l/Xpo7/Iqgap1/Trip11/Dennd1a/Arhgap1/Dvl3/Odf2/Cyfip1/Sytl5/Rnf152/Daam1/Ambra1/Ap1g1/Dennd5b/Erc1/Exph5/Tsc2/Dock2/Ranbp10/Evi5l/Pot1b/Dnm1l/Rgp1/Braf/Wasf1",79
"GO:0003712","GO:0003712","transcription coregulator activity","99/2311","497/28407",5.11327391157868e-17,8.40037856902213e-15,5.18247611489328e-15,"Bud31/Smarcd3/Sra1/Med21/Tada1/Hmgb1/Maml3/Akirin1/Sub1/Yaf2/Cops2/Hr/Taf9/Taf12/Snw1/Ccdc124/C1d/Npm1/Cnot7/Med6/Naca/Bend6/Med4/Hyal2/Taf11/Wwc1/Cops5/Tsg101/Sap18/Trrap/Kmt2c/Phf24/Ncor1/Hcfc1/Dcc/Arid5b/Trp53bp1/Kat6a/Med12l/Nsd1/Dhx9/Mysm1/Atf7ip/Mta3/Kmt2e/Spen/Kmt2d/Gon4l/Crebbp/Ep300/Ncoa1/Nrg1/Usp22/Nipbl/Camta1/Med13l/Med13/Ppargc1b/Hdac9/Supt20/Wwox/Setd5/Mecp2/Yeats2/Ddx5/Tbl1x/Kdm3b/Nrip1/Zfp451/Hipk2/Jmy/Hipk3/Tcf4/Med12/Med1/Dyrk1b/Ube3a/Jmjd1c/Myt1l/Fus/Asxl1/Ewsr1/Kat6b/Bcl9/Trerf1/Ezh1/Lcor/Sfmbt2/Ncoa2/Calcoco1/Arrb1/Zfp366/Crym/Ncoa6/Jade1/Ddx17/Phf8/Elk1/Rad54l2",99
"GO:0031267","GO:0031267","small GTPase binding","69/2311","297/28407",1.02554400446064e-15,1.47421950641216e-13,9.0949560395588e-14,"Ift20/Rap1a/Anxa2/Npc1l1/Rabggtb/Brk1/Rac1/Stx4a/Rinl/Pak1/Cdc42ep4/Xpo1/Cdkl5/Dock4/Mycbp2/Dmxl2/Nsf/Dgki/Myo5a/Dock7/Rabgap1l/Rab11fip4/Acap2/Dock3/Als2/Rab11fip2/Golga4/Xpo4/Tnpo1/Gria1/Dock9/Sorl1/Rasgrf1/Tnpo2/Ccdc186/Gapvd1/Ric1/Cyfip2/Xpo5/Rapgef6/Tbc1d30/Xpot/Farp1/Mfn2/Pex5l/Xpo7/Iqgap1/Trip11/Dennd1a/Arhgap1/Dvl3/Odf2/Cyfip1/Sytl5/Rnf152/Daam1/Ap1g1/Dennd5b/Erc1/Exph5/Tsc2/Dock2/Ranbp10/Evi5l/Pot1b/Dnm1l/Rgp1/Braf/Wasf1",69
"GO:0046873","GO:0046873","metal ion transmembrane transporter activity","88/2311","437/28407",1.43494876289599e-15,1.8335456414782e-13,1.13117598385017e-13,"Atp1b3/Kcnip2/Anxa2/Cacnb3/Trpc3/Slc13a3/Kcnj14/Ghitm/Kcnj10/Slc6a12/Slc6a13/Mmgt1/Tmco1/Kcnk1/Cacna2d1/Atp2b4/Ryr2/Kcnq3/Cacna1e/Kcnk9/Kcnh7/Kcnma1/Cacna1b/Grin2a/Slc9a7/Nalcn/Kcnh5/Slc24a2/Grin1/Kcnb2/Cacna1c/Slc8a2/Scn8a/Atp2b3/Nipal3/Itpr1/Kcna3/Mrs2/Slc8a1/Kcnj6/Cacnb2/Slc12a6/Kcna2/Pkd1/Ryr3/Ryr1/Grin2b/Rimbp2/Slc4a8/Cacna1d/Kcnq5/Slc24a4/Slc6a7/Atp2b1/Trpc5/Kcnj3/Scn3a/Grm7/Itpr2/Kcnd2/Slc6a1/Nipa1/Trpm2/Slc4a10/Trpc1/Kcnn2/Abcc8/Kcnc2/Scn7a/Kcng3/Slc20a1/Kcnq2/Slc9a8/Slc9a1/Slc5a6/Slc38a7/Slc12a5/Trpm7/Slc6a6/Scnn1a/Grik1/Grin3a/Grin2d/Atp1a3/Abcc9/Atp2a2/Trpm3/Kcnc1",88
"GO:0005085","GO:0005085","guanyl-nucleotide exchange factor activity","54/2311","201/28407",2.06295522062891e-15,2.37239850372325e-13,1.46361244074093e-13,"Rap1a/Lamtor5/Psd/Fbxo8/Eif2b2/Eif2b5/Rinl/Bcar3/Arfgef3/Dock4/Mycbp2/Ralgps1/Dennd4a/Dock7/Dock3/Kalrn/Als2/Dock9/Rasgrf1/Gapvd1/Rapgef5/Ric1/Rapgef2/Rapgef6/Psd3/Trio/Arfgef2/Tiam1/Ccdc88c/Iqsec2/Rapgefl1/Kndc1/Farp1/Rasgrf2/Dennd4b/Itsn1/Itsn2/Dennd1a/Arhgef11/Sbf2/Elmo1/Dennd5b/Arhgef12/Rasgrp1/Dis3/Arfgef1/Dock2/Dennd6b/Ranbp10/Arhgef9/Madd/Iqsec1/Sh2d3c/Rgp1",54
