"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cacna2d1",6651.78998330705,-3.56060387499797,0.105236267108097,-33.8343802269287,6.1599904342973e-251,8.33077106334366e-247
"Herc1",12670.4883159324,-0.354495680170117,0.0310460317970943,-11.4183893931106,3.38447903074158e-30,2.28858472058746e-26
"Atrn",11255.7179971522,-0.253811031676091,0.0237258878226471,-10.6976410566107,1.0440220624435e-26,4.7064514574953e-23
"6030443J06Rik",53.6690311772881,-2.15629645781291,0.207422859359449,-10.3956548688599,2.59498197170717e-25,8.77363404634193e-22
"Vps13c",2803.24889354596,-0.577202644134956,0.0589191504886618,-9.79652013560566,1.16531189607507e-22,3.15193561650386e-19
"Arfgef3",4509.98602023398,-0.590365187512955,0.061210667660474,-9.64480882299174,5.170745161492e-22,1.1654859594003e-18
"Scn2a1",17331.5877778292,-0.36981437185258,0.0386251425311644,-9.57444678823379,1.02404055303636e-21,1.97844634846625e-18
"Reln",4717.21814430613,-0.66442969549438,0.0712335389595953,-9.32748400821773,1.08413798384221e-20,1.83273526168526e-17
"Zbed6",1392.00157571691,-0.66754267523701,0.074933970945203,-8.90841185668866,5.17687691951596e-19,7.77912038439266e-16
"Atp2b4",12630.9053025883,-0.52479254576582,0.0592899136492641,-8.85129549808905,8.65091719884824e-19,1.08807603388839e-15
"Ryr2",9552.31841700632,-0.380257268028913,0.042972966409693,-8.84875538736702,8.85007126055328e-19,1.08807603388839e-15
"Cdk14",7812.24768821069,-0.342761062455498,0.0394896752783426,-8.67976401526602,3.96590828526924e-18,4.46957863749843e-15
"Uba1",12507.4517517253,-0.157951583577548,0.0184483970942833,-8.56180527610681,1.11113753561884e-17,1.15592492551609e-14
"Tbc1d24",4962.76516131204,-0.259109786230399,0.0309852384223901,-8.3623621899635,6.14747745369178e-17,5.93846322026626e-14
"Kcnq3",1893.67028278024,-0.598832272923418,0.0719667040225442,-8.32096288216601,8.72515722832756e-17,7.86660175706012e-14
"Ppm1l",2752.75997795885,-0.513970507196411,0.0620761741300499,-8.2796743581465,1.23512567295716e-16,1.04398997506704e-13
"Lrp1b",2086.11838170337,-0.530802607278101,0.0642806953190175,-8.25757413860866,1.4866286497159e-16,1.18265681522105e-13
"Arhgap32",20237.2476788456,-0.287171082775517,0.0349177528679584,-8.22421430902083,1.9647451483762e-16,1.47617852147999e-13
"Lnpep",1916.76784065764,-0.631567098720327,0.0798972044591659,-7.90474589186798,2.68480710763949e-15,1.91101743809034e-12
"Nyap2",681.1493456136,-0.602502010516801,0.076305257841671,-7.89594357661378,2.88127020797385e-15,1.93302544686261e-12
"Tnks",3318.32560299791,-0.331618909038678,0.0420258056458348,-7.89084001942375,3.00159230879288e-15,1.93302544686261e-12
"Dync1h1",24916.2731816918,-0.374513491943202,0.0479444390629994,-7.811406270727,5.6553398643725e-15,3.47649165117153e-12
"Chd6",3716.57653888566,-0.283875921330091,0.0364690584377529,-7.78402112614516,7.02550186649681e-15,4.13099509750012e-12
"Itga4",1002.65263328546,-0.636675031340614,0.0819850845520225,-7.76574220566451,8.11684949185811e-15,4.57384468866204e-12
"Nbea",13527.7938155826,-0.275652150531499,0.0355582298804546,-7.75213365395946,9.03612081039392e-15,4.88260189522999e-12
"1700020I14Rik",4296.08950415159,-0.417783004315593,0.0539262849026696,-7.74729809534702,9.38684185714136e-15,4.88260189522999e-12
"Cdkl5",3524.12795053754,-0.491033176620653,0.0638461504634005,-7.69088148708566,1.46124742024137e-14,7.31922596716454e-12
"Cacna1e",10147.9892414107,-0.425600599502751,0.0554346166631023,-7.6775239935236,1.62192875416719e-14,7.83391588262754e-12
"Kcnk9",713.657874132624,-0.527744083403706,0.0690144833020989,-7.64685987857937,2.05946529911241e-14,9.60420989834351e-12
"Atp8a2",1131.63201427872,-0.421512840907173,0.0561463891430176,-7.50739000923968,6.03178255362346e-14,2.71912757517345e-11
"Mcm3ap",2363.59800308263,-0.25785895720215,0.0345612469793563,-7.46092747626179,8.59155344143359e-14,3.74813447554671e-11
"Heatr5b",2673.24611641544,-0.279697011317427,0.037703943293579,-7.41824294450017,1.18684252429066e-13,5.01589321828341e-11
"Birc6",7604.38652739672,-0.300937559725697,0.0405962735714432,-7.41293555419794,1.23533926103552e-13,5.06264489886194e-11
"Prepl",17295.9487410479,-0.197012071878579,0.0266343647040263,-7.39691275042114,1.39387066896402e-13,5.54432556678513e-11
"Erbb4",1168.31810808894,-0.561223283638516,0.0765298151240002,-7.33339395540383,2.24396052439736e-13,8.45968308348673e-11
"Adgrl3",3866.05502770346,-0.361008454182941,0.0492311997564561,-7.33292009881597,2.25191208965929e-13,8.45968308348673e-11
"Dock4",5111.6751272271,-0.292591703676564,0.0399712830056793,-7.32004783621759,2.47882576414411e-13,8.85864432226959e-11
"Tnik",6726.17962161879,-0.277718441512464,0.0379423123690821,-7.3194917276251,2.48911922690213e-13,8.85864432226959e-11
"Mycbp2",15252.4296651308,-0.267543910113824,0.0369089640530378,-7.24875154256202,4.20630667360122e-13,1.45861772958418e-10
"Mmp16",1145.80838862747,-0.386134480881556,0.0533326864509017,-7.24010933214536,4.48323182716016e-13,1.51578068076285e-10
"Tenm2",4546.18770115115,-0.49242127248563,0.0685375554698551,-7.18469267119121,6.73585306911205e-13,2.2218457782115e-10
"Prrc2c",8299.8843303358,-0.317644673385718,0.044411845897058,-7.15225109359302,8.53662309636665e-13,2.74879263703006e-10
"D130043K22Rik",1846.0608173956,-0.347452520120596,0.0489446576837721,-7.09888548747162,1.25766960348414e-12,3.9555171436092e-10
"Dgkh",1204.42756809531,-0.63687671112779,0.0897833842859639,-7.09348078369724,1.30780122270387e-12,4.01970539451071e-10
"Abca8b",988.026399708446,-0.41180874297065,0.0582513600753757,-7.06951292532536,1.55478451347879e-12,4.67264572450827e-10
"Tenm3",5356.7176282691,-0.398767621526494,0.0565573450695915,-7.05067787456831,1.78048247723563e-12,5.23461848307275e-10
"Lrrc8b",2976.67831420509,-0.331596201668339,0.04711665663582,-7.03777019306258,1.95340501682515e-12,5.62081903139219e-10
"Sacs",422.397670540517,-0.720834842406718,0.102528302235381,-7.03059376475241,2.05656464181404e-12,5.79437087831106e-10
"Mtor",4482.68367278897,-0.228046180408523,0.032459849005429,-7.02548494203967,2.13324018566323e-12,5.88774291243051e-10
"Kif1a",52796.3551819296,-0.21931612784298,0.0312460783222794,-7.01899693077967,2.23466691558068e-12,6.02205445840483e-10
"Dmxl2",11780.3029620339,-0.240238653434805,0.0342379044256906,-7.01674525542926,2.27096108679863e-12,6.02205445840483e-10
"Pclo",12397.5836376804,-0.386067647749844,0.0551416887767567,-7.00137511770549,2.5346229900793e-12,6.59196948419855e-10
"Lrrc8c",599.062500634401,-0.421884381570739,0.0603225559234194,-6.99380812222759,2.67523382647693e-12,6.8263891074102e-10
"Ubr5",5785.36141571948,-0.225048721469508,0.0322418026281437,-6.98002912756075,2.95118870714396e-12,7.39108816211388e-10
"Megf9",2447.20055235091,-0.348125342933345,0.0501773489844534,-6.93789827440278,3.97976108076343e-12,9.78587070113539e-10
"Zzef1",2884.66244521165,-0.27993696714602,0.0404511238523949,-6.92037551706851,4.50447990322933e-12,1.08783189662988e-09
