"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009205","GO:0009205","purine ribonucleoside triphosphate metabolic process","6/51","22/1750",2.3753083624003e-05,0.0125769676941969,0.0120197018061553,"Ndufs4/Ndufb5/Ndufv2/Sdhd/Nme1/Itpa",6
"GO:0009199","GO:0009199","ribonucleoside triphosphate metabolic process","6/51","23/1750",3.14256851874382e-05,0.0125769676941969,0.0120197018061553,"Ndufs4/Ndufb5/Ndufv2/Sdhd/Nme1/Itpa",6
"GO:0009144","GO:0009144","purine nucleoside triphosphate metabolic process","6/51","24/1750",4.09741077597556e-05,0.0125769676941969,0.0120197018061553,"Ndufs4/Ndufb5/Ndufv2/Sdhd/Nme1/Itpa",6
"GO:0009141","GO:0009141","nucleoside triphosphate metabolic process","6/51","25/1750",5.27208163118557e-05,0.0125769676941969,0.0120197018061553,"Ndufs4/Ndufb5/Ndufv2/Sdhd/Nme1/Itpa",6
"GO:0009206","GO:0009206","purine ribonucleoside triphosphate biosynthetic process","5/51","16/1750",5.91052409131618e-05,0.0125769676941969,0.0120197018061553,"Ndufs4/Ndufb5/Ndufv2/Sdhd/Nme1",5
"GO:0009145","GO:0009145","purine nucleoside triphosphate biosynthetic process","5/51","17/1750",8.18965338226772e-05,0.0125769676941969,0.0120197018061553,"Ndufs4/Ndufb5/Ndufv2/Sdhd/Nme1",5
"GO:0009201","GO:0009201","ribonucleoside triphosphate biosynthetic process","5/51","17/1750",8.18965338226772e-05,0.0125769676941969,0.0120197018061553,"Ndufs4/Ndufb5/Ndufv2/Sdhd/Nme1",5
"GO:0009142","GO:0009142","nucleoside triphosphate biosynthetic process","5/51","18/1750",0.000110909427841585,0.014903454366213,0.0142431054701825,"Ndufs4/Ndufb5/Ndufv2/Sdhd/Nme1",5
"GO:0015980","GO:0015980","energy derivation by oxidation of organic compounds","8/51","58/1750",0.000186392964600346,0.0211395002532122,0.0202028418576599,"Ndufs4/Mdh1/Ndufb5/Ndufv2/Sdhd/Ppp1cc/Ppp1cb/Chchd2",8
"GO:0002181","GO:0002181","cytoplasmic translation","7/51","44/1750",0.00019664651398337,0.0211395002532122,0.0202028418576599,"Cnbp/Rpl7/Rpl18a/Rpsa/Rpl6/Rps4x/Rpl12",7
"GO:0006470","GO:0006470","protein dephosphorylation","6/51","35/1750",0.000386371258220246,0.0377590093260695,0.0360859663179866,"Calm2/Ptp4a1/Ptp4a2/Ppp1cc/Ppp1cb/Ppia",6
"GO:0015986","GO:0015986","proton motive force-driven ATP synthesis","4/51","14/1750",0.000516892041996987,0.040633854700996,0.038833431763204,"Ndufs4/Ndufb5/Ndufv2/Sdhd",4
