"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0070663","GO:0070663","regulation of leukocyte proliferation","9/89","26/2353",1.94699198619799e-07,0.000137383766327144,0.000117947989008,"Pla2g5/Cd24a/Igf2/Tac1/Prlr/Mpl/Cnn2/Il12a/Foxj1",9
"GO:0032944","GO:0032944","regulation of mononuclear cell proliferation","8/89","20/2353",2.65732623456758e-07,0.000137383766327144,0.000117947989008,"Pla2g5/Cd24a/Igf2/Tac1/Prlr/Mpl/Il12a/Foxj1",8
"GO:0050670","GO:0050670","regulation of lymphocyte proliferation","8/89","20/2353",2.65732623456758e-07,0.000137383766327144,0.000117947989008,"Pla2g5/Cd24a/Igf2/Tac1/Prlr/Mpl/Il12a/Foxj1",8
"GO:0070661","GO:0070661","leukocyte proliferation","9/89","33/2353",1.93133359932015e-06,0.00062982675537877,0.000540724724662625,"Pla2g5/Cd24a/Igf2/Tac1/Prlr/Mpl/Cnn2/Il12a/Foxj1",9
"GO:0002694","GO:0002694","regulation of leukocyte activation","12/89","64/2353",2.66164705555574e-06,0.00062982675537877,0.000540724724662625,"Pla2g5/Cd24a/Igf2/Sphk1/Tac1/Prlr/B2m/Mpl/Il12a/Hfe/Foxj1/Thbs1",12
"GO:0046651","GO:0046651","lymphocyte proliferation","8/89","26/2353",2.73345833817105e-06,0.00062982675537877,0.000540724724662625,"Pla2g5/Cd24a/Igf2/Tac1/Prlr/Mpl/Il12a/Foxj1",8
"GO:0032946","GO:0032946","positive regulation of mononuclear cell proliferation","6/89","13/2353",3.43281631309662e-06,0.00062982675537877,0.000540724724662625,"Cd24a/Igf2/Tac1/Prlr/Mpl/Il12a",6
"GO:0050671","GO:0050671","positive regulation of lymphocyte proliferation","6/89","13/2353",3.43281631309662e-06,0.00062982675537877,0.000540724724662625,"Cd24a/Igf2/Tac1/Prlr/Mpl/Il12a",6
"GO:0032943","GO:0032943","mononuclear cell proliferation","8/89","27/2353",3.76520068136101e-06,0.00062982675537877,0.000540724724662625,"Pla2g5/Cd24a/Igf2/Tac1/Prlr/Mpl/Il12a/Foxj1",8
"GO:0035295","GO:0035295","tube development","19/89","160/2353",4.06077856466003e-06,0.00062982675537877,0.000540724724662625,"Cd24a/Aldh1a2/Anxa2/Igf2/Sphk1/Tmem215/Rbpj/Fgfbp1/Itga5/Fbln5/Spp1/Il12a/Rarres2/Ptgis/Tnfrsf12a/Foxj1/Cdh1/Hes5/Thbs1",19
"GO:0001525","GO:0001525","angiogenesis","12/89","68/2353",5.2104262052138e-06,0.000734670094935146,0.000630735803789039,"Anxa2/Igf2/Sphk1/Tmem215/Rbpj/Fgfbp1/Itga5/Fbln5/Il12a/Ptgis/Tnfrsf12a/Thbs1",12
"GO:0050865","GO:0050865","regulation of cell activation","12/89","70/2353",7.15247051011274e-06,0.000924456813432072,0.000793673262744967,"Pla2g5/Cd24a/Igf2/Sphk1/Tac1/Prlr/B2m/Mpl/Il12a/Hfe/Foxj1/Thbs1",12
"GO:0002449","GO:0002449","lymphocyte mediated immunity","7/89","22/2353",9.39467404840486e-06,0.00112085688069815,0.000962288475403412,"Cd24a/Igf2/B2m/Mpl/Il12a/Hfe/Foxj1",7
"GO:0048646","GO:0048646","anatomical structure formation involved in morphogenesis","19/89","173/2353",1.31762963738939e-05,0.00138622800331657,0.00119011736007022,"Aldh1a2/Anxa2/Igf2/Sphk1/Tmem215/Rbpj/Xrcc2/Fgfbp1/Itga5/Fbln5/Mpl/Il12a/Ptgis/Col1a1/Tnfrsf12a/Foxj1/Cdh1/Hes5/Thbs1",19
"GO:0007159","GO:0007159","leukocyte cell-cell adhesion","9/89","41/2353",1.36653507262863e-05,0.00138622800331657,0.00119011736007022,"Pla2g5/Cd24a/Igf2/Itga5/B2m/Il12a/Hfe/Foxj1/Thbs1",9
"GO:0002706","GO:0002706","regulation of lymphocyte mediated immunity","6/89","16/2353",1.46099918863423e-05,0.00138622800331657,0.00119011736007022,"Cd24a/Igf2/B2m/Il12a/Hfe/Foxj1",6
