"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cacna2d1",6651.78998330705,-3.56060387499797,0.105236267108097,946.538046157648,2.89650859217604e-206,4.02846414999844e-202
"Herc1",12670.4883159324,-0.354495680170117,0.0310460317970943,137.947281558281,1.10950282622227e-30,7.71548265354969e-27
"Atrn",11255.7179971522,-0.253811031676091,0.0237258878226471,120.427244038755,7.07222748250356e-27,3.27868466088865e-23
"6030443J06Rik",53.6690311772881,-2.15629645781291,0.207422859359449,108.989006515369,2.15445754836306e-24,7.49104889565837e-21
"Vps13c",2803.24889354596,-0.577202644134956,0.0589191504886618,99.9125614526452,2.01494383094061e-22,5.6047677601444e-19
"Arfgef3",4509.98602023398,-0.590365187512955,0.061210667660474,96.4710740137033,1.12608830022239e-21,2.61027267991551e-18
"Scn2a1",17331.5877778292,-0.36981437185258,0.0386251425311644,95.9304118466735,1.47562411562957e-21,2.93185431431086e-18
"Reln",4717.21814430613,-0.66442969549438,0.0712335389595953,86.3536769042671,1.77230031311999e-19,2.79057084885194e-16
"Zbed6",1392.00157571691,-0.66754267523701,0.074933970945203,86.3162204469371,1.8058051222079e-19,2.79057084885194e-16
"Ryr2",9552.31841700632,-0.380257268028913,0.042972966409693,83.0861530473123,9.0796917448397e-19,1.26280352787231e-15
"Cdk14",7812.24768821069,-0.342761062455498,0.0394896752783426,80.2127253438164,3.81968898584036e-18,4.82947585591524e-15
"Atp2b4",12630.9053025883,-0.52479254576582,0.0592899136492641,78.1624326321181,1.06473960278675e-17,1.23403319962984e-14
"Kcnq3",1893.67028278024,-0.598832272923418,0.0719667040225442,74.6396531536327,6.19733898580609e-17,6.63019927804547e-14
"Uba1",12507.4517517253,-0.157951583577548,0.0184483970942833,73.3143987351609,1.20221071008846e-16,1.19431046827931e-13
"Lrp1b",2086.11838170337,-0.530802607278101,0.0642806953190175,71.218255134741,3.42888083421694e-16,3.17925830948595e-13
"Tbc1d24",4962.76516131204,-0.259109786230399,0.0309852384223901,70.8649905457965,4.0913141029159e-16,3.44260869543459e-13
"Ppm1l",2752.75997795885,-0.513970507196411,0.0620761741300499,70.808765664617,4.20796288628041e-16,3.44260869543459e-13
"Arhgap32",20237.2476788456,-0.287171082775517,0.0349177528679584,68.9561505260461,1.06258129506053e-15,8.21021147316772e-13
"Lnpep",1916.76784065764,-0.631567098720327,0.0798972044591659,66.5714391499316,3.50102863119836e-15,2.5627529580372e-12
"Chd6",3716.57653888566,-0.283875921330091,0.0364690584377529,66.4279303294684,3.76147523496107e-15,2.61572987839193e-12
"Tnks",3318.32560299791,-0.331618909038678,0.0420258056458348,66.3069988843171,3.99593243606659e-15,2.64644896765782e-12
"Nyap2",681.1493456136,-0.602502010516801,0.076305257841671,63.8071277631531,1.39462759178592e-14,8.81658206661755e-12
"Cdkl5",3524.12795053754,-0.491033176620653,0.0638461504634005,63.4927738988143,1.63199689262201e-14,9.86861425329867e-12
"1700020I14Rik",4296.08950415159,-0.417783004315593,0.0539262849026696,62.747435300345,2.36901356627718e-14,1.37284336165762e-11
"Nbea",13527.7938155826,-0.275652150531499,0.0355582298804546,61.9568877344233,3.51748918264394e-14,1.95684958208848e-11
"Dync1h1",24916.2731816918,-0.374513491943202,0.0479444390629994,61.2310057648773,5.05657016002042e-14,2.70487606867554e-11
"Itga4",1002.65263328546,-0.636675031340614,0.0819850845520225,60.1774849980472,8.56298464526166e-14,4.41088853504812e-11
"Cacna1e",10147.9892414107,-0.425600599502751,0.0554346166631023,59.6097044822562,1.13741025018573e-13,5.64967919985113e-11
"Kcnk9",713.657874132624,-0.527744083403706,0.0690144833020989,59.4355228628846,1.24090974691302e-13,5.95123198622973e-11
"Lrrc8b",2976.67831420509,-0.331596201668339,0.04711665663582,58.926219235712,1.60078893335438e-13,7.31025514857312e-11
"Erbb4",1168.31810808894,-0.561223283638516,0.0765298151240002,58.890780268758,1.62940688528737e-13,7.31025514857312e-11
"Prepl",17295.9487410479,-0.197012071878579,0.0266343647040263,58.5295600763133,1.95194472555954e-13,8.48363976346314e-11
"Mcm3ap",2363.59800308263,-0.25785895720215,0.0345612469793563,58.4197088528927,2.06215547423071e-13,8.69104798048508e-11
"Heatr5b",2673.24611641544,-0.279697011317427,0.037703943293579,57.7408002233424,2.89563982581923e-13,1.18448702051452e-10
"Atp8a2",1131.63201427872,-0.421512840907173,0.0561463891430176,57.3529465334484,3.51532837586691e-13,1.39689105861591e-10
"Kcnh7",1859.40541412997,-0.573473853138683,0.0834142432238237,56.3592073993474,5.77768168259825e-13,2.23211102337712e-10
"Tnik",6726.17962161879,-0.277718441512464,0.0379423123690821,56.2935879353356,5.97038993642015e-13,2.24422116853328e-10
"Birc6",7604.38652739672,-0.300937559725697,0.0405962735714432,56.0206794217011,6.84327554648131e-13,2.50463885001216e-10
