"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007626","GO:0007626","locomotory behavior","29/315","56/1750",5.39882359423305e-09,1.09488142491046e-05,9.76334624725514e-06,"Ndufs4/Trh/Reln/Cacna1e/Adgrl3/Mtor/Tnr/Grin2a/Strn/Kcnma1/Htt/Cacna1b/Chl1/Cntnap2/Epha4/Grin1/Nav2/Dscam/Aplp2/Ncor1/Myo5a/Kalrn/Cacna1c/Scn8a/Vps13a/Grm1/Grm5/Lsamp/Als2",29
"GO:0007267","GO:0007267","cell-cell signaling","76/315","262/1750",1.25488033597264e-06,0.000733368719638225,0.000653964216930587,"Cplx3/Trh/Tpbg/Serp1/Cacna2d1/Reln/Zbed6/Ryr2/Cdk14/Kcnq3/Tbc1d24/Lnpep/Tnks/Cdkl5/Cacna1e/Erbb4/Prepl/Tnik/Dmxl2/Ubr5/Tenm2/Mtor/Pclo/Zzef1/Cdh2/Tnr/Grin2a/Strn/Kcnma1/Macf1/Htt/Kif1b/Slc24a2/Cacna1b/Phf24/Chd8/Nalcn/Gabrb1/Cntnap2/Bcas3/Itgb8/Cpeb1/Epha4/Syt1/Frrs1l/Dgki/Dcc/Grin1/Kit/Igsf9b/Hcfc1/Adra1a/Myo5a/Stx1b/Kalrn/Sv2b/Synj1/Utrn/Slc8a2/Celsr2/Cacna1c/Apc/Snap91/Dlgap2/Sv2a/Lrp1/Syt11/Grm1/Ptprd/Nrg3/Grm5/Als2/Adcy1/Itpr1/Slc12a6/Ppp2r3a",76
"GO:0099537","GO:0099537","trans-synaptic signaling","54/315","166/1750",1.34544814561341e-06,0.000733368719638225,0.000653964216930587,"Cplx3/Tpbg/Reln/Kcnq3/Tbc1d24/Lnpep/Cdkl5/Cacna1e/Erbb4/Prepl/Dmxl2/Tenm2/Mtor/Pclo/Zzef1/Cdh2/Tnr/Grin2a/Kcnma1/Htt/Kif1b/Slc24a2/Cacna1b/Phf24/Nalcn/Gabrb1/Cntnap2/Cpeb1/Epha4/Syt1/Frrs1l/Dgki/Dcc/Grin1/Kit/Igsf9b/Adra1a/Myo5a/Stx1b/Sv2b/Synj1/Slc8a2/Cacna1c/Snap91/Dlgap2/Sv2a/Syt11/Grm1/Ptprd/Nrg3/Grm5/Als2/Adcy1/Slc12a6",54
"GO:0099536","GO:0099536","synaptic signaling","56/315","175/1750",1.51448348460303e-06,0.000733368719638225,0.000653964216930587,"Cplx3/Tpbg/Reln/Kcnq3/Tbc1d24/Lnpep/Cdkl5/Cacna1e/Erbb4/Prepl/Dmxl2/Tenm2/Mtor/Pclo/Zzef1/Cdh2/Tnr/Grin2a/Kcnma1/Htt/Kif1b/Slc24a2/Cacna1b/Phf24/Nalcn/Gabrb1/Cntnap2/Cpeb1/Epha4/Syt1/Frrs1l/Dgki/Dcc/Grin1/Kit/Igsf9b/Adra1a/Myo5a/Stx1b/Sv2b/Synj1/Utrn/Slc8a2/Cacna1c/Snap91/Dlgap2/Sv2a/Syt11/Grm1/Ptprd/Nrg3/Grm5/Als2/Adcy1/Itpr1/Slc12a6",56
"GO:0007268","GO:0007268","chemical synaptic transmission","53/315","164/1750",2.16972993975806e-06,0.000733368719638225,0.000653964216930587,"Cplx3/Tpbg/Reln/Kcnq3/Tbc1d24/Lnpep/Cdkl5/Cacna1e/Erbb4/Prepl/Dmxl2/Mtor/Pclo/Zzef1/Cdh2/Tnr/Grin2a/Kcnma1/Htt/Kif1b/Slc24a2/Cacna1b/Phf24/Nalcn/Gabrb1/Cntnap2/Cpeb1/Epha4/Syt1/Frrs1l/Dgki/Dcc/Grin1/Kit/Igsf9b/Adra1a/Myo5a/Stx1b/Sv2b/Synj1/Slc8a2/Cacna1c/Snap91/Dlgap2/Sv2a/Syt11/Grm1/Ptprd/Nrg3/Grm5/Als2/Adcy1/Slc12a6",53
"GO:0098916","GO:0098916","anterograde trans-synaptic signaling","53/315","164/1750",2.16972993975806e-06,0.000733368719638225,0.000653964216930587,"Cplx3/Tpbg/Reln/Kcnq3/Tbc1d24/Lnpep/Cdkl5/Cacna1e/Erbb4/Prepl/Dmxl2/Mtor/Pclo/Zzef1/Cdh2/Tnr/Grin2a/Kcnma1/Htt/Kif1b/Slc24a2/Cacna1b/Phf24/Nalcn/Gabrb1/Cntnap2/Cpeb1/Epha4/Syt1/Frrs1l/Dgki/Dcc/Grin1/Kit/Igsf9b/Adra1a/Myo5a/Stx1b/Sv2b/Synj1/Slc8a2/Cacna1c/Snap91/Dlgap2/Sv2a/Syt11/Grm1/Ptprd/Nrg3/Grm5/Als2/Adcy1/Slc12a6",53
"GO:0048812","GO:0048812","neuron projection morphogenesis","50/315","156/1750",5.83312756890688e-06,0.00156971123984278,0.0013997528859389,"Tpbg/Reln/Tbc1d24/Arhgap32/Nyap2/Cdkl5/Itga4/Atp8a2/Tnik/Mycbp2/D130043K22Rik/Tenm2/Megf9/Kif1a/Nrcam/Cdh2/Tnr/Macf1/Usp9x/Dst/Gas7/Pcdhac2/Epha6/Myh10/Matn2/Chl1/Cntnap2/Map1b/Epha4/Syt1/Dcc/Plxna2/Grin1/Dscam/Dock7/Aplp2/Sh3gl2/Kalrn/Dicer1/Celsr2/Etv1/Slitrk1/Apc/Snap91/Lrp1/Ptprd/Myo16/Als2/Adcy1/Slit2",50
"GO:0065008","GO:0065008","regulation of biological quality","113/315","450/1750",6.19215479227921e-06,0.00156971123984278,0.0013997528859389,"Sumo1/Ndufs4/Cplx3/Calm2/Trh/Cct3/Nme1/Snx6/Tpbg/Yipf5/Serp1/Ppia/Cacna2d1/Reln/Zbed6/Ryr2/Atp2b4/Kcnq3/Tbc1d24/Arhgap32/Lnpep/Cdkl5/Nbea/Cacna1e/Kcnk9/Erbb4/Prepl/Atp8a2/Kcnh7/Tnik/Mycbp2/Adgrl3/Dock4/Dmxl2/D130043K22Rik/Ubr5/Mtor/Pclo/Frmpd4/Akap9/Kif1a/Zzef1/Mtmr9/Nrcam/Xkr4/Cdh2/Slc9a7/Kcnh5/Tnr/Grin2a/Kcnma1/Macf1/Htt/Usp9x/Tenm1/Slc24a2/Cacna1b/Gas7/Lyst/Nalcn/Sptan1/Tnrc6b/Gabrb1/Myh10/Cntnap2/Lrrc7/Map1b/Cpeb1/Epha4/Akap6/Syt1/Rictor/Frrs1l/Dgki/Abcc1/Larp4b/Plxna2/Grin1/Nav2/Dscam/Kit/Igsf9b/Hcfc1/Adra1a/Brwd3/Sh3gl2/Ncor1/Myo5a/Stx1b/Kalrn/Lingo2/Sv2b/Dicer1/Synj1/Slc8a2/Celsr2/Slitrk1/Cacna1c/Scn8a/Snap91/Sv2a/Lrp1/Syt11/Tnrc6a/Ptprd/Akap11/Grm5/Als2/Adcy1/Slit2/Itpr1/Slc8a1/Slc12a6",113
"GO:0032990","GO:0032990","cell part morphogenesis","51/315","162/1750",8.36563449784957e-06,0.00162649477853905,0.0014503882640559,"Tpbg/Mff/Reln/Tbc1d24/Arhgap32/Nyap2/Cdkl5/Itga4/Atp8a2/Tnik/Mycbp2/D130043K22Rik/Tenm2/Megf9/Kif1a/Nrcam/Cdh2/Tnr/Macf1/Usp9x/Dst/Gas7/Pcdhac2/Epha6/Myh10/Matn2/Chl1/Cntnap2/Map1b/Epha4/Syt1/Dcc/Plxna2/Grin1/Dscam/Dock7/Aplp2/Sh3gl2/Kalrn/Dicer1/Celsr2/Etv1/Slitrk1/Apc/Snap91/Lrp1/Ptprd/Myo16/Als2/Adcy1/Slit2",51
"GO:0048858","GO:0048858","cell projection morphogenesis","50/315","158/1750",8.82221033724338e-06,0.00162649477853905,0.0014503882640559,"Tpbg/Reln/Tbc1d24/Arhgap32/Nyap2/Cdkl5/Itga4/Atp8a2/Tnik/Mycbp2/D130043K22Rik/Tenm2/Megf9/Kif1a/Nrcam/Cdh2/Tnr/Macf1/Usp9x/Dst/Gas7/Pcdhac2/Epha6/Myh10/Matn2/Chl1/Cntnap2/Map1b/Epha4/Syt1/Dcc/Plxna2/Grin1/Dscam/Dock7/Aplp2/Sh3gl2/Kalrn/Dicer1/Celsr2/Etv1/Slitrk1/Apc/Snap91/Lrp1/Ptprd/Myo16/Als2/Adcy1/Slit2",50
