"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042391","GO:0042391","regulation of membrane potential","21/193","491/28891",1.90507826921526e-11,4.49788979361722e-08,3.88234897810604e-08,"Cacna2d1/Reln/Ryr2/Kcnq3/Kcnk9/Kcnh7/Pclo/Kcnh5/Grin2a/Kcnma1/Gabrb1/Dgki/Igsf9b/Adra1a/Kcnj6/Grin2b/Trpc5/Gabrg3/Scn7a/Abcc9/Gabra2",21
"GO:0098742","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","13/193","211/28891",2.00658876220088e-09,2.36877803377814e-06,2.04460833874784e-06,"Itga4/Adgrl3/Tenm2/Tenm3/Tenm1/Cdh6/Sdk2/Igsf9b/Tenm4/Nrg1/Cdh7/Pcdha10/Mypn",13
"GO:0001508","GO:0001508","action potential","10/193","158/28891",1.18964721958539e-07,9.36252361813698e-05,8.08125269163967e-05,"Cacna2d1/Ryr2/Kcnq3/Kcnh7/Grin2a/Kcnma1/Adra1a/Grin2b/Scn7a/Abcc9",10
"GO:0071805","GO:0071805","potassium ion transmembrane transport","11/193","212/28891",2.07153345248396e-07,0.000103786661045749,8.95833504021799e-05,"Kcnq3/Kcnk9/Kcnh7/Slc9a7/Kcnh5/Kcnma1/Kcnb2/Kcna3/Kcnj6/Kcng3/Abcc9",11
"GO:0034765","GO:0034765","regulation of monoatomic ion transmembrane transport","16/193","490/28891",2.1979386074915e-07,0.000103786661045749,8.95833504021799e-05,"Cacna2d1/Reln/Ryr2/Atp2b4/Kcnq3/Cacna1e/Kcnh7/Kcnh5/Grin2a/Kcnma1/Kcnb2/Kcna3/Kcnj6/Hecw2/Kcng3/Abcc9",16
"GO:0006813","GO:0006813","potassium ion transport","11/193","249/28891",1.02148379609544e-06,0.000401953873763557,0.0003469460753054,"Kcnq3/Kcnk9/Kcnh7/Slc9a7/Kcnh5/Kcnma1/Kcnb2/Kcna3/Kcnj6/Kcng3/Abcc9",11
"GO:0060078","GO:0060078","regulation of postsynaptic membrane potential","8/193","130/28891",2.77874605223501e-06,0.000937231347046696,0.000808970279267216,"Reln/Pclo/Grin2a/Dgki/Igsf9b/Grin2b/Gabrg3/Gabra2",8
"GO:0007156","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","7/193","109/28891",8.92770418941715e-06,0.00263478869890173,0.00227421517246205,"Tenm3/Cdh6/Sdk2/Igsf9b/Cdh7/Pcdha10/Mypn",7
"GO:0007157","GO:0007157","heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules","5/193","50/28891",2.09674312854222e-05,0.00550045614054243,0.00474771309574005,"Itga4/Tenm2/Tenm3/Tenm1/Tenm4",5
"GO:0031103","GO:0031103","axon regeneration","5/193","53/28891",2.79418259890934e-05,0.00606902784435134,0.00523847518075044,"D130043K22Rik/Tnr/Mtr/Xylt1/Nrg1",5
"GO:0051966","GO:0051966","regulation of synaptic transmission, glutamatergic","6/193","88/28891",2.82758603506416e-05,0.00606902784435134,0.00523847518075044,"Reln/Tnr/Grin2a/Dgki/Grin2b/Grm2",6
"GO:0070782","GO:0070782","phosphatidylserine exposure on apoptotic cell surface","3/193","11/28891",4.65554643764424e-05,0.00915978761606505,0.00790626131866601,"Xkr4/Trpc5/Xkr6",3
"GO:0007214","GO:0007214","gamma-aminobutyric acid signaling pathway","4/193","31/28891",5.27388576430598e-05,0.00957818791502033,0.0082674031090659,"Gabrb1/Htr1a/Gabrg3/Gabra2",4
"GO:0031102","GO:0031102","neuron projection regeneration","5/193","63/28891",6.48409258845514e-05,0.010934959000959,0.00943849868514974,"D130043K22Rik/Tnr/Mtr/Xylt1/Nrg1",5
