"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0070663","GO:0070663","regulation of leukocyte proliferation","7/62","313/28891",4.83633920777449e-06,0.00692697566657365,0.00484794479546652,"Pla2g5/Cd24a/Tac1/Igf2/Prlr/Mpl/Cnn2",7
"GO:0030100","GO:0030100","regulation of endocytosis","7/62","344/28891",8.94968385829555e-06,0.00692697566657365,0.00484794479546652,"Pla2g5/Anxa2/Rspo1/Sphk1/B2m/Cnn2/Hfe",7
"GO:1900120","GO:1900120","regulation of receptor binding","3/62","23/28891",1.61637876334299e-05,0.00692697566657365,0.00484794479546652,"Anxa2/B2m/Hfe",3
"GO:1903532","GO:1903532","positive regulation of secretion by cell","7/62","390/28891",2.0098976900011e-05,0.00692697566657365,0.00484794479546652,"Trh/Cartpt/Anxa2/Tac1/Sphk1/Spp1/Hfe",7
"GO:0034104","GO:0034104","negative regulation of tissue remodeling","3/62","29/28891",3.3044969633074e-05,0.00692697566657365,0.00484794479546652,"Cd24a/Cartpt/Tnfrsf11b",3
"GO:0050670","GO:0050670","regulation of lymphocyte proliferation","6/62","286/28891",3.44775919738731e-05,0.00692697566657365,0.00484794479546652,"Pla2g5/Cd24a/Tac1/Igf2/Prlr/Mpl",6
"GO:0070661","GO:0070661","leukocyte proliferation","7/62","425/28891",3.47553896094956e-05,0.00692697566657365,0.00484794479546652,"Pla2g5/Cd24a/Tac1/Igf2/Prlr/Mpl/Cnn2",7
"GO:0032944","GO:0032944","regulation of mononuclear cell proliferation","6/62","290/28891",3.72531557853647e-05,0.00692697566657365,0.00484794479546652,"Pla2g5/Cd24a/Tac1/Igf2/Prlr/Mpl",6
"GO:0034103","GO:0034103","regulation of tissue remodeling","4/62","87/28891",3.74468889139875e-05,0.00692697566657365,0.00484794479546652,"Cd24a/Cartpt/Tnfrsf11b/Spp1",4
"GO:0051047","GO:0051047","positive regulation of secretion","7/62","437/28891",4.14540734085796e-05,0.00692697566657365,0.00484794479546652,"Trh/Cartpt/Anxa2/Tac1/Sphk1/Spp1/Hfe",7
"GO:0050671","GO:0050671","positive regulation of lymphocyte proliferation","5/62","183/28891",4.66253540185972e-05,0.00701421272471681,0.00490899892101192,"Cd24a/Tac1/Igf2/Prlr/Mpl",5
"GO:0032946","GO:0032946","positive regulation of mononuclear cell proliferation","5/62","186/28891",5.0371366066189e-05,0.00701421272471681,0.00490899892101192,"Cd24a/Tac1/Igf2/Prlr/Mpl",5
"GO:0070665","GO:0070665","positive regulation of leukocyte proliferation","5/62","202/28891",7.44492830211683e-05,0.00956959630218248,0.00669742133089215,"Cd24a/Tac1/Igf2/Prlr/Mpl",5
"GO:0048771","GO:0048771","tissue remodeling","5/62","215/28891",9.98528218247052e-05,0.0119181475192202,0.0083410891012968,"Cd24a/Cartpt/Rbpj/Tnfrsf11b/Spp1",5
"GO:0051251","GO:0051251","positive regulation of lymphocyte activation","6/62","367/28891",0.000136158436764479,0.0151680498555629,0.0106155805786201,"Cd24a/Tac1/Igf2/Prlr/B2m/Mpl",6
"GO:0046651","GO:0046651","lymphocyte proliferation","6/62","383/28891",0.000171578824914577,0.0166347335418077,0.0116420605152593,"Pla2g5/Cd24a/Tac1/Igf2/Prlr/Mpl",6
"GO:0032943","GO:0032943","mononuclear cell proliferation","6/62","389/28891",0.000186600053343883,0.0166347335418077,0.0116420605152593,"Pla2g5/Cd24a/Tac1/Igf2/Prlr/Mpl",6
"GO:0042445","GO:0042445","hormone metabolic process","5/62","246/28891",0.000187225452648273,0.0166347335418077,0.0116420605152593,"Aldh1a2/Igf2/Cpq/Spp1/Hfe",5
"GO:0048259","GO:0048259","regulation of receptor-mediated endocytosis","4/62","132/28891",0.000189144187489137,0.0166347335418077,0.0116420605152593,"Anxa2/Rspo1/B2m/Hfe",4
"GO:0045124","GO:0045124","regulation of bone resorption","3/62","54/28891",0.000215904906187063,0.0180388549119291,0.0126247553038856,"Cartpt/Tnfrsf11b/Spp1",3
"GO:0071281","GO:0071281","cellular response to iron ion","2/62","12/28891",0.000294945578626068,0.0213152635599322,0.0149177976094269,"B2m/Hfe",2
"GO:0006898","GO:0006898","receptor-mediated endocytosis","5/62","272/28891",0.000297682336431492,0.0213152635599322,0.0149177976094269,"Anxa2/Rspo1/Cxcl16/B2m/Hfe",5
"GO:0002696","GO:0002696","positive regulation of leukocyte activation","6/62","432/28891",0.000327215706045158,0.0213152635599322,0.0149177976094269,"Cd24a/Tac1/Igf2/Prlr/B2m/Mpl",6
"GO:0034756","GO:0034756","regulation of iron ion transport","2/62","13/28891",0.000348090123853547,0.0213152635599322,0.0149177976094269,"B2m/Hfe",2
"GO:1900121","GO:1900121","negative regulation of receptor binding","2/62","13/28891",0.000348090123853547,0.0213152635599322,0.0149177976094269,"B2m/Hfe",2
"GO:0046622","GO:0046622","positive regulation of organ growth","3/62","64/28891",0.000357167791548834,0.0213152635599322,0.0149177976094269,"Igf2/Rbpj/Ccnb1",3
"GO:0046850","GO:0046850","regulation of bone remodeling","3/62","64/28891",0.000357167791548834,0.0213152635599322,0.0149177976094269,"Cartpt/Tnfrsf11b/Spp1",3
"GO:0048260","GO:0048260","positive regulation of receptor-mediated endocytosis","3/62","64/28891",0.000357167791548834,0.0213152635599322,0.0149177976094269,"Anxa2/B2m/Hfe",3
"GO:0007159","GO:0007159","leukocyte cell-cell adhesion","6/62","447/28891",0.000392183207958583,0.0225978669137515,0.0158154462447182,"Pla2g5/Cd24a/Igf2/B2m/Itga5/Hfe",6
"GO:0050867","GO:0050867","positive regulation of cell activation","6/62","454/28891",0.000425762145480368,0.0237149515032565,0.0165972541624102,"Cd24a/Tac1/Igf2/Prlr/B2m/Mpl",6
"GO:0042048","GO:0042048","olfactory behavior","2/62","16/28891",0.000533305806404995,0.0262104118383161,0.0183437384184504,"Tpbg/Cfap69",2
